ËõĞ´	Ó¢ÎÄ	ÖĞÎÄ	Àà±ğ
CD-E	compact disc erasable	¿ÉÄ¨Ê½¼¤¹â³ªÆ¬	null
CDG	compact-disc plus graphic	´øÓĞ¾²Ö¹Í¼ÏñµÄCD³ªÅÌ	null
CD	constant directional horn	ºã¶¨Ö¸ÏòºÅ½Ç	null
CDV	compact disc with video	ÃÜÎÆÉùÏñ³ªÆ¬	null
CE	ceramic	ÌÕ´É	null
null	Clock enable	Ê±ÖÓÆô¶¯	null
null	Cell	µç³Ø£¬Ôª¼ş£¬µ¥Ôª	null
null	Cellar club	µØÏÂ¾ãÀÖ²¿Ğ§¹û	null
null	Cello	´óÌáÇÙ	null
CEMA	consumer electronics manufacturer_sassociation	£¨ÃÀ¹ú£©Ïû·Ñµç×Ó²úÆ·ÖÆÔìÉÌĞ­»á	null
CENELEC	connector	Å·ÖŞ±ê×¼21½ÅAVÁ¬½ÓÆ÷	null
null	Cent	Òô·Ö	null
null	Central earth	ÖĞĞÄ½ÓµØ	null
CES	consumer electronic show	£¨ÃÀ¹ú£©Ïû·Ñµç×Ó²úÆ·Õ¹ÀÀ»á	null
CF	center frequency	ÖĞĞÄÆµÂÊ	null
null	Cross fade	ÈíÇĞ»»	null
CH	channel	ÉùµÀ£¬Í¨µÀ	null
null	Chain	´«ÊäÁ´£¬ĞÅµÀ	null
null	Chain play	Á¬ĞøÑİ×à	null
null	Chamber	ÃÜÒôÒôÏìĞ§¹û£¬ÏûÉùÊÒ	null
CHAN	channel	Í¨µÀ	null
null	Change	½»»»	null
null	Chapter	ÇúÄ¿	null
null	Chaper skip	Ìø½Ú	null
CHAE	character	×Ö·û£¬·ûºÅ	null
null	Characteristic curve	ÌØĞÔÇúÏß	null
null	Charge	³äµç	null
null	Charger	³äµçÆ÷	null
null	Chase	¸ú×Ù	null
null	Check	Ğ£Ñé	null
CHC	charge	³äµç	null
CH	- off	Í¨µÀÇĞ¶Ï	null
null	Choke	ºÏ³ª	null
null	Choose	Ñ¡Ôñ	null
null	Chromatic	É«²Ê£¬°ëÒô	null
null	Church	½ÌÌÃÒôÏìĞ§¹û	null
CI	cut in	ÇĞÈë	null
CIC	cross interleave code	½»²æ¸ôĞĞ±àÂë	null
CIRC	circulate	Ñ­»·	null
null	Circuit	µçÂ·	null
CL	cancel	È¡Ïû	null
null	Classic	¹ÅµäµÄ	null
null	Clean	¾»»¯	null
CLR	clear	¹éÁã	null
null	Click	àÖßÕÉù	null
null	Clip	Ï÷²¨£¬ÏŞ·ù£¬½ÓÏßÖù	null
CLK	clock	Ê±ÖÓĞÅºÅ	null
null	Close	¹Ø±Õ£¬Í£Ö¹	null
null	CLS	¿ØÖÆÊÒ¼àÌı	null
null	Cluster	ÒôÏäÕóĞ§¹û	null
CLV	ceiling limit value	ÉÏÏŞÖµ	null
CMP	compact	Ñ¹Ëõ	null
CMPT	compatibility	¼æÈİĞÔ	null
CMRR	common mode rejection ratio	¹²Ä£ÒÖÖÆ±È	null
CNT	count	¼ÇÊı£¬¼ÇÊıÆ÷	null
CNTRL	central	ÖĞĞÄ£¬ÖĞÑë	null
CO	carry out	¶¨Î»Êä³ö	null
null	Coarse	´Öµ÷	null
null	Coax	Í¬ÖáµçÀÂ	null
null	Coaxial	ÊıÂëÍ¬Öá½Ó¿Ú	null
null	Code	Âë£¬±àÂë	null
null	Coefficient	ÏµÊı	null
null	Coincident	¶àĞÅºÅÍ¬²½	null
null	Cold	ÀäµÄ£¬µ¥±¡µÄ	null
null	Color	È¾É«Ğ§¹û	null
COM	comb	Êá×´£¨ÂË²¨£©	null
COMB	combination	×éºÏÒôÉ«	null
COMBI	combination	×éºÏ£¬»ìºÏ	null
COMBO	combination	ÅäºÏ£¬×éºÏ	null
null	Combining	¼¯ºÏ£¬½áºÏ	null
COMM	communication	»»ÏòµÄ£¬ÇĞ»»×°ÖÃ	null
null	Command	Ö¸Áî£¬²Ù×÷£¬ĞÅºÅ	null
null	COMMON	¹«¹²µÄ£¬¹«¹²µØ¶Ë	null
null	Communieation speed	Í¨Ñ¶ËÙ¶ÈÑ¡Ôñ	null
COMP	comparator	±È½ÏÆ÷	null
COMP	compensate	²¹³¥	null
null	Compact	Ñ¹Ëõ	null
null	Compander	Ñ¹ËõÀ©Õ¹Æ÷	null
null	Compare	±ÈÄâ	null
null	Compatibility	¼æÈİ	null
null	Compensate	²¹³¥	null
null	Complex	È«Ì×Éè±¸	null
null	Copmoser	´´ÒâÕß£¬×÷ÇúÕß	null
null	Compressor	Ñ¹ËõÆ÷	null
null	COMP-EXP	Ñ¹À©Æ÷	null
null	Compromise	£¨ÆµÂÊ£©Æ½ºâ	null
null	Computer	¼ÆËã»ú£¬µçÄÔ	null
CON	concentric cable	Í¬ÖáµçÀÂ	null
CON	console	²Ù×İÌ¨	null
CON	controller	¿ØÖÆÆ÷	null
null	Concentric	Í¬ÖáµÄ£¬Í¬ĞÄµÄ	null
null	Concert	ÒôÀÖÌüĞ§¹û	null
null	Condenser Microphone	µçÈİ»°Í²	null
null	Cone type	×¶ĞÎ£¨ÑïÉùÆ÷£©	null
null	CONFIG	²¼¾Ö£¬ÏßÂ·½Ó·¨	null
null	Connect	Á¬½Ó£¬ÁªÂç	null
CORR	correct	Ğ£Õı£¬²¹³¥£¬µÖÏû	null
null	Configuration	ÏßÂ·²¼¾Ö	null
null	Confirmation	È·ÈÏ	null
null	Consent	ÍòÄÜ²å×ù	null
null	Console	µ÷ÒôÌ¨	null
null	Consonant	¸¨Òô	null
null	Constant	³£Êı	null
CONT	continuous	Á¬ĞøµÄ£¨ÒôÉ«ÌØĞÔ£©	null
CONT	control	¿ØÖÆ£¬²Ù×İ	null
null	Contact	½Ó´¥Æ÷	null
null	Content	ÄÚÈİ	null
null	Continue	Á¬Ğø£¬¼ÌĞø	null
null	Continue button	Á½Â¼Òô¿¨×ùÁ¬Ğø·ÅÒô¼ü	null
null	Contour	ÍâĞÎ£¬ÂÖÀª£¬±£³Ö	null
null	Contra	´Î°Ë¶È	null
null	Contrast	¶Ô±È¶È	null
null	Contribution	·ÖÅä	null
null	Controlled	¿É¿ØµÄ	null
null	Controller	¿ØÖÆÆ÷	null
CONV	conventional	³£¹æµÄ	null
CONV	convert	±ä»»	null
CONV	convertible	¿É×ª»»µÄ	null
null	Copy	¸´ÖÆ	null
null	Correlation meter	Ïà¹Ø±í	null
null	Coupler	ñîºÏ	null
null	Cover	²¹³¥	null
null	Coverage	ÓĞĞ§·¶Î§	null
CP	clock pulse	Ê±ÖÓÂö³å	null
CP	control program	¿ØÖÆ³ÌĞò	null
null	CPU	ÖĞÑë´¦ÀíÆ÷	null
CR	card reader	¿¨Æ¬ÔÄ¶Á»ú	null
CRC	cyclic redundancy check	Ñ­»·ÈßÓàĞ£Ñé	null
null	Create	½¨Á¢£¬´´Ôì	null
null	Crescendo	½¥Ç¿»ò½¥Èõ	null
null	Crispness	Çå´à¸Ğ	null
CRM	control room	¿ØÖÆÊÒ	null
CROM	control read only memory	¿ØÖÆÖ»¶Á´æ´¢Æ÷	null
null	Crossfader	½»²æ½¥±äÆ÷	null
null	Cross-MOD	½»²æµ÷ÖÆ	null
null	Crossover	·ÖÆµÆ÷£¬»»Ïò£¬ÇĞ¶Ï	null
null	Cross talk	ÉùµÀ´®ÈÅ£¬´®Òô	null
null	Crunch	Ä¦²ÁÒô	null
CSS	content scrambling system	ÄÚÈİ¼ÓÃÜÏµÍ³	null
CST	case style tape	ºĞÊ½´Å´ø	null
CT	current	µçÁ÷	null
CTM	close talking microphone	½ü½²»°Í²	null
CU	counting unit	¼ÆÊıµ¥Ôª	null
null	Cue	ÌáÊ¾£¬Ñ¡Ìı	null
null	Cue clock	¹ÊÕÏ¼ÆÊ±ÖÓ	null
null	Cueing	ÌáÊ¾£¬Ö¸³ö	null
null	Cursor	Ö¸Ê¾Æ÷£¬¹â±ê	null
null	Curve	£¨ÌØĞÔ£©ÇúÏß	null
null	Custom	³£¹æ	null
null	CUT	ÇĞÈ¥£¬Ó²ÇĞ»»	null
D	double	Ë«ÖØµÄ£¬¶ÔÅ¼µÄ	null
D	drum	¹Ä£¬´Å¹Ä	null
DA	delayed action	ÑÓ³Ù×÷ÓÃ	null
DAB	digital audio broadcasting	Êı×ÖÒôÆµ¹ã²¥	null
null	Damp	×èÄá	null
DASH	digital audio stationar head	Êı×Ö¹Ì¶¨´ÅÍ·	null
null	Dashpot	»º³åÆ÷£¬¼õÕğÆ÷	null
DAT	digital audio tape	Êı×ÖÒôÆµ´Å´ø£¬Êı×ÖÂ¼Òô»ú	null
null	DATA	Êı¾İ	null
null	DATAtron	Êı¾İ´¦Àí»ú	null
null	DATE	ÈÕÆÚ	null
DB	distribution	·ÖÏßºĞ	null
DBA	decibel asolute	¾ø¶Ô·Ö±´	null
DBA	decibel adjusted	µ÷Õû·Ö±´	null
DBB	dynamic bass boost	¶¯Ì¬µÍÒôÌáÉı	null
DBK	decibels referred to one kilowatt	Ç§Íß·Ö±´	null
null	DBm decibel above one milliwatt in 600 ohms	ºÁÍß·Ö±´	null
DBS	direct broadcast satellite	Ö±²¥ÎÀĞÇ	null
null	DBX	Ñ¹ËõÀ©Õ¹Ê½½µÔëÏµÍ³	null
DC	distance controlled	Ò£¿ØÆ÷	null
DCA	digital command assembly	Êı×ÖÖ¸Áî×°ÖÃ	null
DCE	data circuit terminating equipment	Êı¾İÍ¨Ñ¶ÏßÂ·ÖÕ¶ËÉè±¸	null
DCF	digital comb filter	Êı×ÖÊá×´ÂË²¨Æ÷	null
DCH	decade chorus	Ê®Éù²¿ºÏ³ª	null
DCP	date central processor	Êı¾İÖĞĞÄ´¦ÀíÆ÷	null
DD	direct drive	Ö±½ÓÇı¶¯	null
DD	dolby digital	Êı×Ö¶Å±È	null
DDC	direct digital control	Ö±½ÓÊı×Ö¿ØÖÆ	null
DDS	digital dynamic sound	Êı×Ö¶¯Ì¬Éù	null
DDT	data definition table	Êı¾İ¶¨Òå±í	null
null	Dead	¾ßÓĞÇ¿ÎüÉùÌØĞÔµÄ·¿¼äµÄ¾²¼Å	null
DEC	decay	Ë¥¼õ£¬½¥Èõ£¬ÓàÒôĞ§¹û	null
null	Decibel	·Ö±´	null
null	Deck	¿¨×ù£¬Â¼Òô×ù£¬´øÖ§¼ÓµÄ£¬×ß´ø»ú¹¹	null
null	Deemphasis	ÊÍ·Å	null
null	Deep reverb	×İÉî»ìÏì	null
null	De-esser	È¥ßĞÉùÆ÷	null
DEF	defeat	ÏûÒş£¬¾²Ôë	null
null	Delete	É¾³ı	null
null	Delivery end	ÊäÈë¶Ë	null
DEMO	demodulator	½âµ÷Æ÷	null
null	Demo	×Ô¶¯Ñİ×à	null
null	Demoder	½âÂëÆ÷	null
null	Density	ÃÜ¶È£¬ÉùÒôÃÜ¶ÈĞ§¹û	null
null	Detune	Òô¸ßÎ¢µ÷£¬È¥Ğ³	null
null	DepFin	×İÉîÎ¢µ÷	null
null	Depth	Éî¶È	null
null	Denoiser	½µÔëÆ÷	null
null	Design	Éè¼Æ	null
null	Destroyer	ÒÖÖÆÆ÷	null
DET	detector	¼ì²¨Æ÷	null
null	Deutlichkeit	ÇåÎú¶È	null
DEV	device	×°ÖÃ£¬ÒÇÆ÷	null
DEX	dynamic exciter	¶¯Ì¬¼¤ÀøÆ÷	null
DF	damping factor	¶¯Ì¬ÂË²¨Æ÷	null
DFL	dynamic filter	¶¯Ì¬ÂË²¨	null
DFS	digital frequency synthesizer	Êı×ÖÆµÂÊºÏ³ÉÆ÷	null
DI	data input	Êı¾İÊäÈë	null
null	Diagram	Í¼ĞÎ£¬Ô­ÀíÍ¼	null
null	Dial	µ÷½Ú¶ÈÅÌ	null
null	Difference	²»Í¬£¬²î±ğ	null
DIFF	differential	²î¶¯	null
null	Diffraction	ÑÜÉä£¬ÈÆÉä	null
null	Diffuse	´«²¥	null
null	Diffusion	À©É¢	null
DIG	digit	Êı×ÖÊ½	null
null	Digital	Êı×ÖµÄ£¬Êı×ÖÊ½£¬¼ÆÊıµÄ	null
null	Digitalyier	Êı×Ö»¯×°ÖÃ	null
DIM	digital input module	Êı×ÖÊäÈëÄ£¿é	null
DIM	diminished	Ë¥¼õ£¬¼õ°ëÒô	null
null	Dimension	·¶Î§£¬ÃÜ¶È£¬³ß´ç£¬£¨¿Õ¼ä£©Î¬£¬ÉùÏñ¿í¶È	null
null	Din	ÎåĞ¾²å¿Ú£¨µÂ¹ú¹¤Òµ±ê×¼£©	null
DIN	digital input	Êı×ÖÊäÈë	null
DIR	direct	Ö±½ÓµÄ£¬£¨µ÷ÒôÌ¨£©Ö±½ÓÊä³ö£¬¶¨ÏòµÄ	null
null	Direct box	Ö¸ÁîºĞ£¬¿ØÖÆºĞ	null
null	Direct sound	Ö±´ïÉù	null
null	Directory	Ä¿Â¼	null
null	Direction	ÅäÖÃ·½Ê½	null
null	Directional	·½Ïò£¬Ö¸ÏòµÄ	null
null	Directivity	·½ÏòĞÔ	null
DIS	display	ÏÔÊ¾Æ÷	null
DISC	disconnect	ÇĞ¶Ï£¬¿ªÂ·	null
DISC	discriminator	¼øÏàÆ÷	null
null	Disc	³ªÅÌ£¬³ªÆ¬£¬µú	null
null	Disc holder	³ªÆ¬³éÌë	null
null	Disc recorder	ÅÌÆ¬Ê½Â¼Òô»ú	null
null	Dischage	ÊÍ·Å£¬½â³ı	null
null	Disco	µÏË¹¿Æ£¬µÏË¹¿ÆÒôÀÖĞ§¹û	null
null	Discord	²»Ğ³ºÍÏÒ	null
null	Disk	³ªÅÌ£¬µú	null
DISP	display	ÏÔÊ¾Æ÷£¬ÏÔÊ¾ÆÁ	null
null	Dispersion	ÆµÉ¢ÌØĞÔ£¬ÉùÒô·Ö²¼	null
null	Displacement	Æ«×ª£¬´ú»»	null
null	Distortion	Ê§Õæ£¬»û±ä	null
DIST	distance	¾àÀë£¬¼ä¾à	null
DIST	district	Çø¼ä	null
null	Distributer	·ÖÅäÆ÷£¬µ¼Ïò×°ÖÃ	null
DITEC	digital television camera	Êı×ÖµçÊÓÉãÏñ»ú	null
null	Dim	±äÈõ£¬±ä°µ£¬Ë¥¼õ	null
DIV	divergence	·¢É¢	null
DIV	division	·Ö¶Î	null
DIV	divisor	·ÖÅäÆ÷	null
null	Diversity	·Ö¼¯£¨½ÓÊÕ£©	null
null	Divider	·ÖÅäÆ÷	null
null	Divx	ÃÀ¹úÊı×ÖÊÓÆµ¿ìµİ¹«Ë¾¿ª·¢µÄÒ»ÖÖÃ¿´Î¹Û¿´¸¶·ÑµÄDVD	null
DJ	Disc Jocker	³ªÆ¬ÆïÊ¿	null
DJ	dust jacket	·À³¾ÕÖ	null
DJ	delay	ÑÓ³Ù	null
DLD	dynamic linear drive	¶¯Ì¬ÏßĞÔÇı¶¯	null
DLLD	direct linear loop detector	Ö±½ÓÏßĞÔ»·Â·¼ì²¨Æ÷	null
DME	digital multiple effector	Êı×Ö×ÛºÏĞ§¹ûÆ÷	null
DMS	date multiplexing system	Êı¾İ¶àÂ·´«ÊäÏµÍ³	null
DMS	digital multiplexing synchronizer	Êı×Ö¶àÂ·´«ÊäÍ¬²½Æ÷	null
DMX	data multiplex	Êı¾İ¶àÂ·£¨´«Êä£©	null
DNL	dynamic noise limiter	¶¯Ì¬ÔëÉùÒÖÖÆÆ÷	null
DNR	dynamic noise reduction	¶¯Ì¬½µÔëµçÂ·	null
DO	dolly out	ºóÒÆ	null
DO	dropout	ĞÅºÅÊ§Âä	null
DOB	dolby	¶Å±È	null
DOL	dynamic optimum loudness	¶¯Ì¬×î¼ÑÏì¶È	null
null	Dolby	¶Å±È£¬¶Å±È¹¦ÄÜ	null
null	Dolby Hx Pro dolby Hx pro headroom extension system	¶Å±ÈHx Pro¶¯Ì¬ÓàÁ¿À©Õ¹ÏµÍ³	null
null	Dolby NR	¶Å±È½µÔë	null
null	Dolby Pro-logic	¶Å±È¶¨ÏòÂß¼­	null
null	Dolby SR-D dolby SR digital	¶Å±ÈÊı×ÖÆµÆ×¼ÇÂ¼	null
null	Dolby Surround	¶Å±È»·ÈÆ	null
null	Dome loudspeaker	Çò¶¥ÑïÉùÆ÷	null
null	Dome type	Çò¶¥£¨ÑïÉùÆ÷£©	null
DOP	doppler	¶àÆÕÀÕ£¨ÏìÓ¦£©	null
null	Double	¼Ó±¶£¬Ë«£¬´Î°Ë¶È	null
null	Doubler	±¶ÆµÆ÷£¬¼Ó±¶Æ÷	null
null	Double speed	±¶ËÙ¸´ÖÆ	null
D.OUT	direct output	Ö±½ÓÊä³ö	null
null	Down	ÏòÏÂ£¬ÏòÏÂµ÷Õû£¬ÏÂÒÆ£¬¼õÉÙ	null
DPCM	differential pulse code modulation	²î¶¯Âö³åµ÷ÖÆ	null
DPD	direct pure MPX decoder	Ö±½Ó´¿¶àÂ·½âµ÷Æ÷	null
DPL	dolby pro logic	¶Å±È¶¨ÏòÂß¼­	null
DPL	duplex	Ë«¹¤£¬Ë«Áª	null
DPLR	doppler	¶àÆÕÀÕ£¨ÏµÍ³£©	null
null	D.Poher effect	µÂ.²¨°£Ğ§Ó¦	null
null	Dr displacement corrector	Î»ÒÆĞ£×¼Æ÷£¬Í¬²½»ú	null
DR	distributor	·ÖÅäÆ÷	null
DR	drum	´Å¹Ä	null
null	Drain	Â©µç£¬Â©¼«	null
DRAM	direct read after write	Ò»´ÎĞÔ¶ÁĞ´´æ´¢Æ÷	null
null	Drama	¾ç³¡Ğ§¹û	null
null	DRAW	Ö»¶Á×·ÒäĞÍ¹âÅÌ	null
null	Dr.Beat	È¡×ÖÊ±¼äĞ£×¼Æ÷	null
DRCN	dynamic range compression and normalization	¶¯Ì¬·¶Î§Ñ¹ËõºÍ¹éÒ»»¯	null
null	Drive	Çı¶¯£¬¼¤Àø	null
null	Dr.Rhythm	½Ú×àÍ¬²½Ğ£×¼Æ÷	null
DRPS	digital random program selector	Êı×ÖÊ½½ÚÄ¿Ëæ»úÑ¡ÔñÆ÷	null
null	Drum	¹Ä	null
null	Drum machine	¹Ä»ú	null
null	Dry	¸É£¬ÎŞĞ§¹ûÉù£¬Ö±´ïÉù	null
DS	distortion	Ê§Õæ	null
DSC	digital signal converter	Êı×ÖĞÅºÅ×ª»»Æ÷	null
DSL	dynamic super loudness	µÍÒô¶¯Ì¬³¬Ïì¶È£¬ÖØµÍÒô»Ö¸´	null
DSM	dynamic scan modulation	¶¯Ì¬É¨ÃèËÙ¶Èµ÷ÖÆÆ÷	null
DSP	digital signal processor	Êı×ÖĞÅºÅ´¦ÀíÆ÷	null
DSP	display simulation program	ÏÔÊ¾Ä£Äâ³ÌĞò	null
DSP	digital sound processor	Êı×ÖÉùÒô´¦ÀíÆ÷	null
DSP	digital sound field processor	Êı×ÖÉù³¡´¦ÀíÆ÷	null
DSP	dynamic speaker	µç¶¯Ê½ÑïÉùÆ÷	null
DSS	digital satellite system	Êı×ÖÎÀĞÇÏµÍ³	null
DT	data terminal	Êı¾İÖÕ¶Ë	null
DT	data transmission	Êı¾İ´«Êä	null
DTL	direct to line	Ö±½ÓÈ¥ÏßÂ·	null
DTS	digital theater system	Êı×ÖÓ°¾çÔºÏµÍ³	null
DTS	digital tuning system	Êı×Öµ÷Ğ³ÏµÍ³	null
DTV	digital television	Êı×ÖµçÊÓ	null
null	Dual	¶ÔÅ¼£¬Ë«ÖØ£¬Ë«	null
null	Dub	¸´ÖÆ£¬ÅäÒô£¬¿½±´£¬×ªÂ¼´Å´ø	null
null	Dubbing mixer	»ìÂ¼µ÷ÒôÌ¨	null
null	Duck	°´Èë£¬½øÈë	null
null	Dummyload	¼Ù¸ºÔØ	null
DUP	Duplicate	¸´ÖÆ£¨Æ·£©	null
null	Duplicator	¸´ÖÆ×°ÖÃ£¬Ôö±¶Æ÷	null
null	Duration	³ÖĞøÊ±¼ä£¬¿í¶È	null
null	Duty	¸ºÔØ£¬×÷ÓÃ·¶Î§£¬¹¦ÂÊ	null
null	Duty cycle	Õ¼¿ÕÏµÊı£¬Æµ¿í±È	null
DUX	duplex	Ë«¹¤	null
DV	device	×°ÖÃ£¬Æ÷¼ş	null
DVC	digital video cassette	Êı×ÖÂ¼Ïó´ø	null
DVD	digital video disc	Êı×Ö¼¤¹âÊÓÅÌ	null
null	DX	ÌìÏßÊÕ·¢¿ª¹Ø£¬Ë«ÖØµÄ£¬Ë«ÏòµÄ	null
DYN	dynamic	µç¶¯Ê½µÄ£¬¶¯Ì¬·¶Î§£¬¶¯È¦Ê½µÄ	null
null	Dynamic filter	¶¯Ì¬ÂË²¨£¨ÌØÊâĞ§¹û´¦Àí£©Æ÷	null
null	Dynamic Microphone	¶¯È¦»°Í²	null
null	Dynamic range	¶¯Ì¬·¶Î§	null
null	Dynode	µç×Ó±¶ÔöÆ÷µç¼«	null
null	early warning	Ô¤¾¯	null
E	earth	ÕæµØ£¬½ÓµØ	null
E	error	´íÎó£¬²î´í£¨¹ÊÕÏÏÔÊ¾£©	null
EA	earth	µØÏß£¬ÕæµØ	null
EAR	early	ÔçÆÚ£¨·´ÉäÉù£©	null
null	Earphone	¶ú»ú	null
null	Earth terminal	½ÓµØ¶Ë	null
EASE	electro-acooustic simulators for engineers	¹¤³ÌÊ¦ÓÃµçÉùÄ£ÄâÆ÷£¬¼ÆËã»úµçÉùÓëÉùÑ§Éè¼ÆÈí¼ş	null
null	Eat	ÊÕÈ¡ĞÅºÅ	null
EBU	european broadcasting union	Å·ÖŞ¹ã²¥ÁªÃË	null
EC	error correction	Îó²îĞ£Õı	null
ECD	electrochomeric display	µçÖÂ±äÉ«ÏÔÊ¾Æ÷	null
null	Echo	»ØÉù£¬»ØÉùĞ§¹û£¬»ìÏì	null
ECL	extension zcompact limitter	À©Õ¹Ñ¹ËõÏŞÖÆÆ÷	null
ECM	electret condenser microphone	×¤¼«Ìå»°Í²	null
ECSL	equivalent continuous sound level	µÈ¼¶Á¬ĞøÉù¼¶	null
ECT	electronec controlled transmission	µç¿Ø´«Êä	null
ED	edit editor	±à¼­£¬±à¼­Æ÷	null
null	Edit	±à¼­	null
null	Edge tone	±ßÀâÒô	null
EDTV	enhanced definition television	ÔöÇ¿ÇåÎú¶ÈµçÊÓ£¨Ò»ÖÖ¿É¼æÈİ¸ßÇåÎú¶ÈµçÊÓ£©	null
E-DRAW	erasable direct after write	¿É´æ¿ÉÄ¨¶ÁĞ´´æ´¢Æ÷	null
EE	errors excepted	ÔÊĞíÎó²î	null
EFF	effect efficiency	Ğ§¹û£¬×÷ÓÃ	null
null	Effector	²Ù×İ×°ÖÃ£¬Ğ§¹ûÆ÷	null
null	Effects generator	Ğ§¹û·¢ÉúÆ÷	null
null	EFM	8/14Î»µ÷ÖÆ·¨	null
EFX	effect	Ğ§¹û	null
EG	envelope generator	°üÂç·¢ÉúÆ÷	null
EIA	electronec industries association	£¨ÃÀ¹ú£©µç×Ó¹¤ÒµĞ­»á	null
EIAJ	electronic industries association Japan	ÈÕ±¾µç×Ó¹¤ÒµĞ­»á	null
EIN	einstein	Á¿×ÓÄ¦¶û£¨ÄÜÁ¿µ¥Î»£©	null
EIN	equivalent input noise	µÈĞ§ÊäÈëÔëÉù	null
EIO	error in operation	²Ù×÷Âë´íÎó	null
null	Eject	µ¯Æğ²ÕÃÅ£¬È¡³ö´Å´ø£¨¹âÅÌ£©£¬³öºĞ	null
EL	electro luminescence	³¡ÖÂ·¢¹â	null
ELAC	electroacoustic	µçÉù£¨Æ÷¼ş£©	null
ELEC	electret	×¤¼«Ìå	null
null	Electret condenser microphone	×¤¼«Ìå»°Í²	null
ELF	extremely low frequency	¼«µÍÆµ	null
ELEC	electronec	µç×ÓµÄ	null
null	Electroacoustics	µçÉùÑ§	null
EMI	electro magnetic interference	µç´Å¸ÉÈÅ	null
null	Emission	·¢Éä	null
EMP	emphasispo	¼ÓÖØ	null
EMP	empty	¿ÕÔØ	null
null	Emphasis	¼ÓÖØ	null
EMS	emergency switch	½ô¼±¿ª¹Ø	null
null	Emulator	Ä£ÄâÆ÷£¬·ÂÕæÉè±¸	null
EN	enabling	Æô¶¯	null
null	Enable	¸³ÄÜ£¬³·Ïû½ûÖ¹Ö¸Áî	null
null	Encoding	±àÂë	null
null	End	Ä©¶Ë£¬½áÊø£¬ÖÕÖ¹	null
null	Ending	ÖÕ¶Ë£¬¶Ë½Ó·¨£¬Ïâ±ß	null
ENG	engineering	¹¤³Ì	null
null	Engine	ÔËĞĞ£¬Ê¹ÓÃ	null
ENG	land	¹¤³Ì½ÓµØ	null
null	Enhance	ÔöÇ¿£¬Ìá¸ß£¬ÌáÉı	null
ENS	ensemble	ºÏ×à	null
ENS	envelope sensation	Èº¸Ğ	null
null	Eensemble	ºÏ×à	null
null	Eensemble	ºÏ×à	null
ENT	enter	¼ÇÂ¼	null
null	Enter	¼ÇÈë£¬½øÈë£¬»Ø³µ	null
null	Entering	²åÈë£¬¼ÇÂ¼	null
null	Entry	ÊäÈëÊı¾İ£¬½øÈë	null
ENV	envelope	°üÂçÏß	null
null	Envelopment	»·ÈÆ¸Ğ	null
EOP	electronic overload protection	µç×Ó¹ıÔØ±£»¤	null
EOP	end of program	³ÌĞò½áÊø	null
EOP	end output	Ä©¶ËÊä³ö	null
EOT	end of tape	´Å´øÎ²¶Ë	null
EP	extend playing record	¶àÇúÄ¿³ªÆ¬	null
EP	extended play	³¤Ê±¼ä·ÅÂ¼£¬ÃÜÂ¼	null
EPG	edit pulse generator	±à¼­Âö³å·¢ÉúÆ÷	null
EPS	emergency power supply	Ó¦¼±µçÔ´	null
EQ	equalizer	¾ùºâÆ÷£¬¾ùºâ	null
EQ	equalization	¾ùºâ	null
EQL	equalization	¾ùºâ	null
null	Equal-loudness contour	µÈÏìÇúÏß	null
null	Equipped	×¼±¸ºÃµÄ£¬ÒÑ×°±¸	null
null	Equitonic	È«Òô	null
null	Equivalence	µÈĞ§Öµ	null
ER	erect	ÉèÖÃ	null
ER	error	´íÎó£¬Îó²î	null
ERA	earphone	¶ú»ú	null
null	Eraser	Ä¨È¥£¬Ïû³ı	null
null	Erasing	²Á³ı£¬ÇåÏ´	null
null	Erasure	Ä¨Òô	null
null	Erase	Ïû³ı£¬Ïû	null
null	Er early	ÔçÆÚµÄ	null
ERCD	extended resolution CD	À©Õ¹½âÎö¶ÈCD	null
EREQ	erect equalizer	¾ùºâÆ÷£¨Æµµã£©Î»ÖÃ£¨µãÆµ²¹³¥µçÂ·µÄÖĞµãÆµÂÊ£©µ÷Õû	null
ERF	early reflection	ÔçÆÚ·´Éä£¨Éù£©	null
null	Ernumber	ÔçÆÚ·´ÉäÉùÁ¿	null
null	Error	´íÎó£¬³ö´í£¬²»ÕıÈ·	null
ES	earth swith	½ÓµØ¿ª¹Ø	null
ES	electrical stimulation	µã¼¤Àø	null
null	Escqpe	ÍË³ö	null
ETER	eternity	ÎŞÏŞ	null
null	Euroscart	Å·ÖŞ±ê×¼21½ÅAVÁ¬½ÓÆ÷	null
null	Event	ÊÂ¼ş	null
EVF	envelope follower	°üÂç¸úËæÆ÷£¨ÒôÏìºÏ³É×°ÖÃ¹¦ÄÜµ¥Ôª£©	null
EX	exciter	¼¤ÀøÆ÷	null
EX	exchange	½»»»	null
EX	expanding	À©Õ¹	null
EXB	expanded bass	µÍÒôÔöÇ¿	null
EXC	exciter	¼¤ÀøÆ÷	null
EXCH	exchange	×ª»»	null
null	Exclusive	×¨ÓÃµÄ	null
null	Excursion	Æ«ÒÆ£¬Æ«×ª£¬Æ¯ÒÆ£¬Õñ·ù	null
EXP	expender	À©Õ¹Æ÷£¬¶¯Ì¬À©Õ¹Æ÷	null
EXP	export	Êä³ö	null
